id,location,shift_type,day_of_week,start_time,end_time,break_start,break_end,total_hours,required_gender,required_skills,region,emp_count,allocation_priority,active
27,Oakfield Court No. 3,WAKING_NIGHT,SATURDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
28,Oakfield Court No. 3,WAKING_NIGHT,SUNDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
29,Oakfield Court No. 3,LONG_DAY,MONDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
30,Oakfield Court No. 3,LONG_DAY,TUESDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
31,Oakfield Court No. 3,LONG_DAY,WEDNESDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
32,Oakfield Court No. 3,LONG_DAY,THURSDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
33,Oakfield Court No. 3,LONG_DAY,FRIDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
34,Oakfield Court No. 3,LONG_DAY,SATURDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
35,Oakfield Court No. 3,LONG_DAY,SUNDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
36,Larch House No. 4,DAY,MONDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
37,Larch House No. 4,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,ANY,BUCCAL,BARNET,1,10,t
38,Larch House No. 4,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
39,Larch House No. 4,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
40,Larch House No. 4,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
41,Larch House No. 4,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
42,Larch House No. 4,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
43,Larch House No. 4,WAKING_NIGHT,MONDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
44,Larch House No. 4,WAKING_NIGHT,TUESDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
45,Larch House No. 4,WAKING_NIGHT,WEDNESDAY,20:00:00,08:00:00,,,12.0,ANY,BUCCAL,BARNET,1,10,t
46,Larch House No. 4,WAKING_NIGHT,THURSDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
47,Larch House No. 4,WAKING_NIGHT,FRIDAY,20:00:00,08:00:00,,,12.0,ANY,BUCCAL,BARNET,1,10,t
48,Larch House No. 4,WAKING_NIGHT,SATURDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
49,Larch House No. 4,WAKING_NIGHT,SUNDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
50,Riverside Close No. 5,DAY,MONDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
51,Riverside Close No. 5,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
52,Riverside Close No. 5,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
53,Riverside Close No. 5,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
54,Riverside Close No. 5,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
55,Riverside Close No. 5,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
56,Riverside Close No. 5,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
57,Riverside Close No. 5,WAKING_NIGHT,MONDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
58,Riverside Close No. 5,WAKING_NIGHT,TUESDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
59,Riverside Close No. 5,WAKING_NIGHT,WEDNESDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
60,Riverside Close No. 5,WAKING_NIGHT,THURSDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
61,Riverside Close No. 5,WAKING_NIGHT,FRIDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,2,10,t
62,Riverside Close No. 5,WAKING_NIGHT,SATURDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
63,Riverside Close No. 5,WAKING_NIGHT,SUNDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
64,Riverside Close No. 5,FLOATING,MONDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
65,Riverside Close No. 5,FLOATING,TUESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
66,Riverside Close No. 5,FLOATING,WEDNESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
67,Riverside Close No. 5,FLOATING,THURSDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
68,Riverside Close No. 5,FLOATING,FRIDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
69,Riverside Close No. 5,FLOATING,SATURDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
70,Riverside Close No. 5,FLOATING,SUNDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
71,Birchwood Road No. 6,DAY,MONDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
72,Birchwood Road No. 6,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
73,Birchwood Road No. 6,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
74,Birchwood Road No. 6,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
75,Birchwood Road No. 6,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
76,Birchwood Road No. 6,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
77,Birchwood Road No. 6,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
78,Birchwood Road No. 6,FLOATING,MONDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
79,Birchwood Road No. 6,FLOATING,TUESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
80,Birchwood Road No. 6,FLOATING,WEDNESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
81,Birchwood Road No. 6,FLOATING,THURSDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
82,Birchwood Road No. 6,FLOATING,FRIDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
83,Birchwood Road No. 6,FLOATING,SATURDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
84,Birchwood Road No. 6,FLOATING,SUNDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
85,Birchwood Road No. 6,LONG_DAY,MONDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,FEMALE,,BARNET,1,10,t
86,Birchwood Road No. 6,LONG_DAY,TUESDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,FEMALE,,BARNET,1,10,t
87,Birchwood Road No. 6,LONG_DAY,WEDNESDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,FEMALE,,BARNET,1,10,t
88,Birchwood Road No. 6,LONG_DAY,THURSDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,FEMALE,,BARNET,1,10,t
89,Birchwood Road No. 6,LONG_DAY,FRIDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,FEMALE,,BARNET,1,10,t
90,Birchwood Road No. 6,LONG_DAY,SATURDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,FEMALE,,BARNET,1,10,t
91,Birchwood Road No. 6,LONG_DAY,SUNDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,FEMALE,,BARNET,1,10,t
92,Meadow Gardens No. 7,DAY,MONDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,2,10,t
93,Meadow Gardens No. 7,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
94,Meadow Gardens No. 7,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
95,Meadow Gardens No. 7,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
96,Meadow Gardens No. 7,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
97,Meadow Gardens No. 7,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
98,Meadow Gardens No. 7,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
99,Meadow Gardens No. 7,WAKING_NIGHT,MONDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
100,Meadow Gardens No. 7,WAKING_NIGHT,TUESDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
101,Meadow Gardens No. 7,WAKING_NIGHT,WEDNESDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
102,Meadow Gardens No. 7,WAKING_NIGHT,THURSDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
103,Meadow Gardens No. 7,WAKING_NIGHT,FRIDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
104,Meadow Gardens No. 7,WAKING_NIGHT,SATURDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
105,Meadow Gardens No. 7,WAKING_NIGHT,SUNDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
106,Meadow House No. 8,WAKING_NIGHT,MONDAY,20:00:00,08:00:00,,,12.0,ANY,BUCCAL,BARNET,1,10,t
107,Meadow House No. 8,WAKING_NIGHT,TUESDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
108,Meadow House No. 8,WAKING_NIGHT,WEDNESDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
109,Meadow House No. 8,WAKING_NIGHT,THURSDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
110,Meadow House No. 8,WAKING_NIGHT,FRIDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
111,Meadow House No. 8,WAKING_NIGHT,SATURDAY,20:00:00,08:00:00,,,12.0,FEMALE,,BARNET,1,10,t
112,Meadow House No. 8,WAKING_NIGHT,SUNDAY,20:00:00,08:00:00,,,12.0,FEMALE,BUCCAL,BARNET,1,10,t
113,Foxglove Road No. 10,FLOATING,MONDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
114,Foxglove Road No. 10,FLOATING,TUESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
115,Foxglove Road No. 10,FLOATING,WEDNESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
116,Foxglove Road No. 10,FLOATING,THURSDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
117,Foxglove Road No. 10,FLOATING,FRIDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
118,Foxglove Road No. 10,FLOATING,SATURDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
119,Foxglove Road No. 10,FLOATING,SUNDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
120,Rowan Rise No. 11,DAY,MONDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
121,Rowan Rise No. 11,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
122,Rowan Rise No. 11,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
123,Rowan Rise No. 11,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,MALE,BUCCAL,BARNET,1,10,t
124,Rowan Rise No. 11,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
125,Rowan Rise No. 11,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
126,Rowan Rise No. 11,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
127,Rowan Rise No. 11,WAKING_NIGHT,MONDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
128,Rowan Rise No. 11,WAKING_NIGHT,TUESDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
129,Rowan Rise No. 11,WAKING_NIGHT,WEDNESDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
130,Rowan Rise No. 11,WAKING_NIGHT,THURSDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
131,Rowan Rise No. 11,WAKING_NIGHT,FRIDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
132,Rowan Rise No. 11,WAKING_NIGHT,SATURDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
133,Rowan Rise No. 11,WAKING_NIGHT,SUNDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
134,Rowan Rise No. 11,FLOATING,MONDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
135,Rowan Rise No. 11,FLOATING,TUESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
136,Rowan Rise No. 11,FLOATING,WEDNESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
137,Rowan Rise No. 11,FLOATING,THURSDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
138,Rowan Rise No. 11,FLOATING,FRIDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
139,Rowan Rise No. 11,FLOATING,SATURDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
140,Rowan Rise No. 11,FLOATING,SUNDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
141,Rowan Rise No. 11,LONG_DAY,MONDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
142,Rowan Rise No. 11,LONG_DAY,TUESDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,BUCCAL,BARNET,1,10,t
143,Rowan Rise No. 11,LONG_DAY,WEDNESDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,2,10,t
144,Rowan Rise No. 11,LONG_DAY,THURSDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
145,Rowan Rise No. 11,LONG_DAY,FRIDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
146,Rowan Rise No. 11,LONG_DAY,SATURDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
147,Rowan Rise No. 11,LONG_DAY,SUNDAY,07:00:00,22:00:00,12:00:00,14:00:00,13.0,MALE,,BARNET,1,10,t
148,Rowan Rise No. 11,CARE_CALL,MONDAY,06:30:00,21:30:00,,,12.0,ANY,,BARNET,1,1,t
149,Rowan Rise No. 11,CARE_CALL,TUESDAY,06:30:00,21:30:00,,,12.0,MALE,,BARNET,1,1,t
150,Rowan Rise No. 11,CARE_CALL,WEDNESDAY,06:30:00,21:30:00,,,12.0,MALE,,BARNET,1,1,t
151,Rowan Rise No. 11,CARE_CALL,THURSDAY,06:30:00,21:30:00,,,12.0,MALE,,BARNET,1,1,t
152,Rowan Rise No. 11,CARE_CALL,FRIDAY,06:30:00,21:30:00,,,12.0,MALE,,BARNET,1,1,t
153,Rowan Rise No. 11,CARE_CALL,SATURDAY,06:30:00,21:30:00,,,12.0,MALE,,BARNET,1,1,t
154,Rowan Rise No. 11,CARE_CALL,SUNDAY,06:30:00,21:30:00,,,12.0,MALE,,BARNET,1,1,t
155,Priory Court No. 12,DAY,MONDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
156,Priory Court No. 12,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,ANY,BUCCAL,BARNET,1,10,t
157,Priory Court No. 12,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
158,Priory Court No. 12,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
159,Priory Court No. 12,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
160,Priory Court No. 12,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,ANY,BUCCAL,BARNET,1,10,t
161,Priory Court No. 12,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
162,Priory Court No. 12,FLOATING,MONDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
163,Priory Court No. 12,FLOATING,TUESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,2,10,t
164,Priory Court No. 12,FLOATING,WEDNESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
165,Priory Court No. 12,FLOATING,THURSDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
166,Priory Court No. 12,FLOATING,FRIDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
167,Priory Court No. 12,FLOATING,SATURDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
168,Priory Court No. 12,FLOATING,SUNDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
169,Priory Court No. 12,SLEEP_IN,MONDAY,22:00:00,07:00:00,,,9.0,ANY,,BARNET,1,10,t
170,Priory Court No. 12,SLEEP_IN,TUESDAY,22:00:00,07:00:00,,,9.0,ANY,BUCCAL,BARNET,1,10,t
171,Priory Court No. 12,SLEEP_IN,WEDNESDAY,22:00:00,07:00:00,,,9.0,ANY,,BARNET,1,10,t
172,Priory Court No. 12,SLEEP_IN,THURSDAY,22:00:00,07:00:00,,,9.0,ANY,,BARNET,1,10,t
173,Priory Court No. 12,SLEEP_IN,FRIDAY,22:00:00,07:00:00,,,9.0,ANY,,BARNET,1,10,t
174,Priory Court No. 12,SLEEP_IN,SATURDAY,22:00:00,07:00:00,,,9.0,ANY,,BARNET,1,10,t
175,Priory Court No. 12,SLEEP_IN,SUNDAY,22:00:00,07:00:00,,,9.0,ANY,,BARNET,1,10,t
176,Elm Gardens No. 13,DAY,MONDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
177,Elm Gardens No. 13,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
178,Elm Gardens No. 13,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
179,Elm Gardens No. 13,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
180,Elm Gardens No. 13,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
181,Elm Gardens No. 13,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
182,Elm Gardens No. 13,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
183,Elm Gardens No. 13,WAKING_NIGHT,MONDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
184,Elm Gardens No. 13,WAKING_NIGHT,TUESDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
185,Elm Gardens No. 13,WAKING_NIGHT,WEDNESDAY,20:00:00,08:00:00,,,12.0,MALE,BUCCAL,BARNET,1,10,t
186,Elm Gardens No. 13,WAKING_NIGHT,THURSDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
187,Elm Gardens No. 13,WAKING_NIGHT,FRIDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
188,Elm Gardens No. 13,WAKING_NIGHT,SATURDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
189,Elm Gardens No. 13,WAKING_NIGHT,SUNDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
190,Elm Court No. 14,WAKING_NIGHT,MONDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
191,Elm Court No. 14,WAKING_NIGHT,TUESDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
192,Elm Court No. 14,WAKING_NIGHT,WEDNESDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
193,Elm Court No. 14,WAKING_NIGHT,THURSDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
194,Elm Court No. 14,WAKING_NIGHT,FRIDAY,20:00:00,08:00:00,,,12.0,MALE,,BARNET,1,10,t
195,Elm Court No. 14,WAKING_NIGHT,SATURDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
196,Elm Court No. 14,WAKING_NIGHT,SUNDAY,20:00:00,08:00:00,,,12.0,ANY,,BARNET,1,10,t
197,Foxglove Avenue No. 15,DAY,MONDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
198,Foxglove Avenue No. 15,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
199,Foxglove Avenue No. 15,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
200,Foxglove Avenue No. 15,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
201,Foxglove Avenue No. 15,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
202,Foxglove Avenue No. 15,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
203,Foxglove Avenue No. 15,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,FEMALE,,BARNET,1,10,t
204,Chestnut Road No. 16,DAY,MONDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
205,Chestnut Road No. 16,DAY,TUESDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
206,Chestnut Road No. 16,DAY,WEDNESDAY,08:00:00,20:00:00,,,11.0,ANY,BUCCAL,BARNET,1,10,t
207,Chestnut Road No. 16,DAY,THURSDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
208,Chestnut Road No. 16,DAY,FRIDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
209,Chestnut Road No. 16,DAY,SATURDAY,08:00:00,20:00:00,,,11.0,ANY,,BARNET,1,10,t
210,Chestnut Road No. 16,DAY,SUNDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
211,Chestnut Road No. 16,FLOATING,MONDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
212,Chestnut Road No. 16,FLOATING,TUESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
213,Chestnut Road No. 16,FLOATING,WEDNESDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
214,Chestnut Road No. 16,FLOATING,THURSDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
215,Chestnut Road No. 16,FLOATING,FRIDAY,12:00:00,14:00:00,,,2.0,ANY,BUCCAL,BARNET,1,10,t
216,Chestnut Road No. 16,FLOATING,SATURDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
217,Chestnut Road No. 16,FLOATING,SUNDAY,12:00:00,14:00:00,,,2.0,ANY,,BARNET,1,10,t
218,Willow Gardens No. 17,DAY,MONDAY,08:00:00,20:00:00,,,11.0,MALE,,BARNET,1,10,t
